nama,2,3
Taruna-1,2.71,3.83
Taruna-2,2.6,3.93
Taruna-3,3.42,3.11
Taruna-4,3.19,3.75
Taruna-5,3.79,3.16
Taruna-6,3.47,3.36
Taruna-7,3.24,3.72
Taruna-8,2.99,3.85
Taruna-9,3.65,3.68
Taruna-10,2.55,3.9
Taruna-11,3.03,3.54
Taruna-12,3.1,3.17
Taruna-13,3.03,3.38
Taruna-14,3.57,3.34
Taruna-15,3.78,3.81
Taruna-16,3.78,3.78
Taruna-17,2.65,3.49
Taruna-18,3.67,3.47
Taruna-19,2.58,3.8
Taruna-20,2.52,3.2
Taruna-21,2.67,3.8
Taruna-22,2.6,3.87
Taruna-23,3.79,3.93
Taruna-24,3.46,3.88
Taruna-25,3.05,3.53
Taruna-26,3.15,3.94
Taruna-27,2.91,3.11
Taruna-28,3.15,3.21
Taruna-29,2.61,3.51
Taruna-30,3.48,3.72
Taruna-31,3.13,3.37
Taruna-32,3.46,3.37
Taruna-33,3.14,3.71
Taruna-34,3.52,3.37
Taruna-35,2.65,3.12
Taruna-36,3.8,3.25
Taruna-37,3.22,3.14
Taruna-38,3.62,3.8
Taruna-39,3.47,3.94
Taruna-40,3.61,3.31
Taruna-41,3.75,3.48
Taruna-42,2.87,3.18
Taruna-43,3.15,3.46
Taruna-44,2.9,3.47
Taruna-45,2.9,3.37
Taruna-46,3.28,3.17
Taruna-47,3.56,3.86
Taruna-48,2.51,3.14
Taruna-49,3.12,3.36
Taruna-50,2.52,3.31
Taruna-51,3.16,3.43
Taruna-52,3.4,3.68
Taruna-53,2.85,3.87
Taruna-54,2.63,3.16
Taruna-55,3.02,3.43
Taruna-56,2.62,3.26
Taruna-57,3.23,3.7
Taruna-58,3.18,3.33
Taruna-59,2.82,3.13
Taruna-60,3.73,3.8
Taruna-61,2.83,3.39
Taruna-62,2.96,3.41
Taruna-63,2.54,3.91
Taruna-64,3.22,3.42
Taruna-65,3.79,3.33
Taruna-66,3.26,3.41
Taruna-67,3.9,3.67
Taruna-68,3.32,3.91
Taruna-69,3.6,3.51
Taruna-70,3.13,3.83
Taruna-71,3.56,3.82
Taruna-72,3.26,3.25
Taruna-73,2.55,3.18
Taruna-74,3.01,3.76
Taruna-75,3.49,3.85
Taruna-76,3.81,3.25
Taruna-77,3.11,3.36
Taruna-78,2.52,3.62
Taruna-79,3.32,3.24
Taruna-80,2.76,3.15
Taruna-81,3.75,3.86
Taruna-82,3.43,3.82
Taruna-83,3.6,3.15
Taruna-84,3.83,3.46
Taruna-85,3.38,3.61
Taruna-86,3.61,3.28
Taruna-87,2.83,3.6
Taruna-88,3.66,3.24
Taruna-89,2.76,3.98
Taruna-90,3.83,3.6
Taruna-91,3.61,3.12
Taruna-92,2.99,3.91
Taruna-93,3.83,3.63
Taruna-94,3.73,3.9
Taruna-95,3.02,3.72
Taruna-96,3.25,3.84
Taruna-97,3.38,3.14
Taruna-98,3.81,3.41
Taruna-99,3.67,3.27
Taruna-100,3.87,3.57
Taruna-101,3.87,3.55
Taruna-102,2.66,3.84
Taruna-103,2.54,3.96
Taruna-104,3.79,3.88
Taruna-105,3.51,3.1
Taruna-106,3.12,3.7
Taruna-107,3.81,3.94
Taruna-108,2.66,3.42
Taruna-109,3.41,3.65
Taruna-110,2.79,3.24
Taruna-111,3.27,3.96
Taruna-112,3.04,3.51
Taruna-113,3.88,3.69
Taruna-114,3.59,3.92
Taruna-115,2.6,3.51
Taruna-116,2.96,3.73
Taruna-117,3.41,3.46
Taruna-118,3.26,3.79
Taruna-119,3.6,3.78
Taruna-120,2.55,3.32
Taruna-121,3.06,3.83
Taruna-122,2.7,3.19
Taruna-123,3.53,3.62
Taruna-124,2.55,3.49
Taruna-125,3.59,3.53
Taruna-126,2.63,3.96
Taruna-127,2.85,3.84
Taruna-128,3.02,3.61
Taruna-129,3.06,3.45
Taruna-130,2.51,3.37
Taruna-131,3.7,3.3
Taruna-132,3.27,3.45
Taruna-133,3.71,3.47
Taruna-134,3.81,3.6
Taruna-135,3.52,3.14
Taruna-136,3.34,3.17
Taruna-137,2.93,3.14
Taruna-138,3.61,3.12
Taruna-139,3.45,3.76
Taruna-140,2.62,3.26
Taruna-141,3.08,3.3
Taruna-142,2.92,3.61
Taruna-143,3.67,3.65
Taruna-144,2.96,3.87
Taruna-145,2.56,3.3
Taruna-146,3.28,3.44
Taruna-147,3.77,3.35
Taruna-148,3.33,3.79
Taruna-149,3.19,3.35
Taruna-150,3.25,3.4
