ips-now,ips-next
2.87,3.26
2.61,3.03
3.08,3.3
2.67,3.28
3.15,3.35
2.83,3.42
3.08,3.59
3.26,3.45
3.51,3.51
3.46,3.41
3.16,3.7
3.4,3.73
3.18,3.76
3.47,3.53
3.52,3.76
3.45,3.73
3.28,3.7
3.63,3.63
3.29,3.5
3.12,3.26
2.88,3.21
2.83,3.46
3.23,3.34
3.19,3.15
3.08,3.02
3.17,3.07
3.01,3.27
2.87,3.25
2.98,3.06
2.87,2.98
2.68,3.13
2.54,3.2
3.39,3.68
3.06,3.45
2.82,2.77
3.2,2.58
3.14,2.68
2.8,3.16
3.12,2.53
2.85,2.56
2.46,2.64
2.36,2.69
2.72,2.93
3.02,3.32
3.14,3.66
3.02,3.49
3.05,3.42
2.97,3.58
3.2,3.66
3.26,3.47
3.29,3.74
3.58,3.55
3.72,3.81
3.63,3.78
2.51,2.93
2.62,3.05
2.56,3.03
2.72,3.21
2.68,3.08
2.57,3.29
2.7,3.47
2.65,3.4
2.72,3.35
2.72,3.56
3.25,3.43
3.32,3.62
3.06,3.56
3.34,3.6
3.12,3.64
3.52,3.9
3.5,3.81
3.27,3.85
3.9,3.92
2.53,3.01
2.88,3.01
2.75,3.19
3.15,3.1
2.88,3.36
3.08,3.05
3.05,3.4
3.05,3.17
3.05,3.36
3.28,3.69
2.93,3.22
2.99,3.45
3.26,3.54
3.19,3.56
3.29,3.7
3.21,3.73
3.51,3.76
3.72,3.69
3.82,3.56
3.15,3.49
3.43,3.69
3.39,3.4
3.43,3.47
2.98,3.43
2.99,3.37
2.61,3.56
2.98,3.23
2.91,3.23
2.84,3.21
2.78,3.33
2.74,3.06
2.64,3.24
2.7,3.03
2.65,3.2
2.68,3.08
2.47,3.1
2.89,2.54
2.96,2.7
2.99,2.69
2.98,3.0
3.27,2.84
3.17,2.76
3.1,2.94
3.18,2.97
3.4,3.42
3.32,3.14
3.6,3.61
3.9,3.56
3.54,3.56
3.61,3.63
3.49,3.44
3.52,3.22
3.07,3.0
3.25,2.94
3.11,2.76
2.84,2.62
2.94,2.67
3.03,2.79
3.1,2.57
2.88,2.54
2.68,2.27
2.39,2.45
3.77,3.52
3.59,3.74
3.3,3.6
3.18,3.56
3.76,3.21
3.1,3.31
3.32,3.06
3.09,3.17
2.84,3.24
3.35,2.9
3.24,3.05
2.59,3.0
2.74,2.63
2.47,2.47
2.97,2.81
3.06,3.21
3.18,3.1
3.55,3.34
3.61,3.39
3.61,3.34
3.41,3.31
3.56,3.49
3.4,3.59
3.44,3.34
3.5,3.48
3.79,3.55
3.62,3.5
3.51,3.55
3.56,3.64
3.55,3.73
3.79,3.81
3.84,3.93
3.84,3.89
3.97,3.97
3.87,3.9
3.93,3.76
3.55,4.0
3.71,3.74
3.74,3.73
3.68,3.87
3.72,3.73
3.61,3.8
3.86,3.76
3.63,3.81
3.79,3.71
3.45,3.6
3.64,3.49
3.64,3.67
3.27,3.69
3.45,3.81
3.57,3.35
3.28,3.44
3.11,3.8
3.41,3.53
3.71,3.59
3.3,3.42
3.58,3.76
3.36,3.51
3.33,3.56
3.1,3.73
3.41,3.21
3.69,3.43
3.3,3.33
3.08,3.62
3.01,3.44
3.29,3.47
3.14,3.48
3.3,3.22
3.25,3.3
3.16,3.51
3.06,3.42
3.1,3.33
3.08,3.85
3.18,3.29
3.16,3.33
3.01,3.38
3.3,3.33
2.88,3.48
2.91,3.21
3.07,3.24
2.91,3.17
2.82,3.39
2.79,3.45
2.83,2.99
2.71,3.21
2.96,3.26
3.11,3.35
2.55,3.73
2.77,3.24
2.75,3.46
3.08,3.46
2.97,3.7
3.03,3.87
3.19,3.48
2.97,3.91
3.37,3.91
3.48,3.91
3.72,3.73
3.65,3.84
3.96,3.91
3.96,4.0
3.54,4.0
2.91,4.0
3.38,4.0
3.36,3.88
3.46,3.85
3.41,3.79
3.25,3.83
3.39,3.88
3.2,3.77
3.26,3.66
3.27,3.79
3.0,3.54
2.44,3.9
2.59,3.44
3.6,3.62
3.39,3.68
3.32,3.68
3.61,3.34
3.79,3.23
3.49,3.08
3.12,3.41
2.56,3.64
2.74,3.38
3.03,2.97
2.26,3.04
2.41,3.11
4.0,3.9
4.0,3.76
3.84,3.67
3.91,3.8
3.91,3.64
4.0,3.63
3.89,3.86
4.0,3.69
4.0,3.64
3.84,3.3
3.95,3.53
3.81,3.9
3.95,3.66
3.93,3.72
3.84,3.64
3.95,3.53
3.5,3.84
3.89,3.69
3.83,3.6
3.84,3.52
3.76,3.7
3.87,3.6
3.86,3.5
3.67,3.57
3.63,3.58
3.81,3.67
3.84,3.47
3.78,3.64
3.91,3.84
3.79,3.61
3.66,3.57
3.81,3.61
3.95,3.56
3.89,3.51
3.81,3.37
3.65,3.6
3.72,3.67
3.79,3.5
3.86,3.6
3.84,3.3
3.65,3.54
3.72,3.6
3.7,3.73
3.72,3.26
3.63,3.6
3.7,3.6
3.86,3.31
3.68,3.31
3.83,3.31
3.59,3.6
3.41,3.65
3.61,3.53
3.41,3.38
3.49,3.22
3.56,3.21
3.76,3.47
3.65,3.92
3.7,3.69
3.7,3.54
3.62,3.13
3.83,3.28
3.58,3.35
3.61,3.27
3.71,3.47
3.5,3.39
3.55,3.3
3.36,3.32
3.35,3.36
3.41,3.22
3.9,4.0
4.0,3.95
3.96,3.95
3.6,3.95
3.96,3.93
3.45,3.92
3.75,3.63
3.76,3.76
3.69,3.93
3.56,3.8
3.6,3.57
3.33,3.88
2.89,3.44
4.0,4.0
3.96,3.17
3.91,3.32
3.91,3.45
3.87,3.37
3.91,3.09
3.96,3.22
3.81,3.05
3.87,3.19
3.56,3.05
3.64,3.24
3.79,3.19
3.66,3.02
3.39,2.98
3.66,2.77
