nama,1,2,3,4
Taruna-1,2.749080237694725,2.3702658576772393,2.523411367471812,3.345405988417796
Taruna-2,3.9014286128198323,3.083801894756716,2.4939575981439996,3.5933627943827444
Taruna-3,3.46398788362281,3.7458916717528163,3.8125091610420734,2.500935797584998
Taruna-4,3.197316968394073,3.4644497728191226,2.499092399699012,3.2497481992139976
Taruna-5,2.312037280884873,3.6131222957228992,2.543899452257262,3.143491966287497
Taruna-6,2.3119890406724055,3.317566733421435,3.5187965248359276,3.6656607535765424
Taruna-7,2.116167224336399,3.384553129035705,2.89947968490108,3.812174120962521
Taruna-8,3.73235229154987,3.698391303130639,3.553421113910362,2.024313542954774
Taruna-9,3.2022300234864174,2.499336017718372,2.1307323151287703,3.348039838117585
Taruna-10,3.416145155592091,2.978849927286281,2.975142387346769,2.1036715982394583
Taruna-11,2.041168988591605,2.4424188836392045,2.067227200366565,3.097717330154712
Taruna-12,3.9398197043239884,3.9753360159932942,2.125306406910709,2.5752654580873564
Taruna-13,3.6648852816008435,3.8881186793732265,3.8128749066888217,2.6135531990442824
Taruna-14,2.4246782213565523,2.078853622737012,2.2784907422351903,2.705917006904713
Taruna-15,2.3636499344142012,3.411150345031377,3.064841364550434,3.2425848980992202
Taruna-16,2.3668090197068676,3.8504966348313316,2.8221912052014133,2.6680999313375384
Taruna-17,2.6084844859190754,2.361150690254667,2.694686652517685,3.465398101180561
Taruna-18,3.049512863264476,3.1358904611052587,3.799666691374545,2.809054771147739
Taruna-19,2.8638900372842313,3.8309765951760837,2.043646793550979,2.136706400619917
Taruna-20,2.582458280396084,2.0678919571715975,3.3275793723511784,3.5675196849682145
Taruna-21,3.223705789444759,3.39484053449368,3.926788868427101,2.571516649185412
Taruna-22,2.278987721304084,2.5946980147451013,3.120336366923684,2.8655337591985255
Taruna-23,2.5842892970704363,3.8487923907530606,3.8736449240661837,3.3708877664438033
Taruna-24,2.7327236865873834,3.9421164903307355,2.1045157585720475,2.664912314297424
Taruna-25,2.912139968434072,3.888532978226868,2.8375866381483226,2.1131713122934315
Taruna-26,3.570351922786027,2.9484284333149278,2.5203155819241023,2.747842094025627
